name, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, RotX, RotY, RotZ,,,,,,
Block,-14,0,2,2,2,2,0,0,0,,,,,,
Block,-15,0,7,4,2,8,0,0,0,,,,,,
Block,-14,0,12,2,2,2,0,0,0,,,,,,
Block,2,0,-14,2,2,2,0,0,0,,,,,,
Block,7,0,15,8,2,4,0,0,0,,,,,,
Block,12,0,-16,2,2,2,0,0,0,,,,,,
Block,-4,0,-6,2,2,2,0,0,0,,,,,,
Block,-15,0,-7,4,2,8,0,0,0,,,,,,
Block,15,0,-7,4,2,8,0,0,0,,,,,,
Block,12,0,16,2,2,2,0,0,0,,,,,,
Block,2,0,14,2,2,2,0,0,0,,,,,,
Block,12,0,14,2,2,2,0,0,0,,,,,,
Block,9,0,-9,8,2,8,0,0,0,,,,,,
Block,6,0,4,2,2,2,0,0,0,,,,,,
Block,0,0,-10,10,2,6,0,0,0,,,,,,
Block,0,0,10,10,2,6,0,0,0,,,,,,
Block,-2,0,14,2,2,2,0,0,0,,,,,,
Block,0,0,2,2,2,2,0,0,0,,,,,,
Block,0,0,-2,2,2,2,0,0,0,,,,,,
Block,-7,0,-15,8,2,4,0,0,0,,,,,,
Block,16,0,-12,2,2,2,0,0,0,,,,,,
Block,-12,0,-14,2,2,2,0,0,0,,,,,,
Block,-9,0,-9,8,2,8,0,0,0,,,,,,
Block,-9,0,9,8,2,8,0,0,0,,,,,,
Block,7,0,-15,8,2,4,0,0,0,,,,,,
Block,-12,0,14,2,2,2,0,0,0,,,,,,
Block,-2,0,-14,2,2,2,0,0,0,,,,,,
Block,-7,0,15,8,2,4,0,0,0,,,,,,
Block,4,0,6,2,2,2,0,0,0,,,,,,
Block,-6,0,-4,2,2,2,0,0,0,,,,,,
Block,15,0,7,4,2,8,0,0,0,,,,,,
Block,-14,0,-2,2,2,2,0,0,0,,,,,,
Block,16,0,12,2,2,2,0,0,0,,,,,,
Block,14,0,12,2,2,2,0,0,0,,,,,,
Block,2,0,0,2,2,2,0,0,0,,,,,,
Block,14,0,2,2,2,2,0,0,0,,,,,,
Block,6,0,-4,2,2,2,0,0,0,,,,,,
Block,-14,0,-12,2,2,2,0,0,0,,,,,,
Block,-2,0,0,2,2,2,0,0,0,,,,,,
Block,4,0,-6,2,2,2,0,0,0,,,,,,
Block,-4,0,6,2,2,2,0,0,0,,,,,,
Block,0,0,0,2,2,2,0,0,0,,,,,,
Block,-16,0,-12,2,2,2,0,0,0,,,,,,
Block,14,0,-12,2,2,2,0,0,0,,,,,,
Block,-12,0,-16,2,2,2,0,0,0,,,,,,
Block,-6,0,4,2,2,2,0,0,0,,,,,,
Block,-10,0,0,6,2,10,0,0,0,,,,,,
Block,-16,0,12,2,2,2,0,0,0,,,,,,
Block,12,0,-14,2,2,2,0,0,0,,,,,,
Block,14,0,-2,2,2,2,0,0,0,,,,,,
Block,-12,0,16,2,2,2,0,0,0,,,,,,
Block,9,0,9,8,2,8,0,0,0,,,,,,
Block,10,0,0,6,2,10,0,0,0,,,,,,
BreakableBlock,-4,0,4,2,2,2,0,0,0,0,0,,,,
BreakableBlock,6,0,-2,2,2,2,0,0,0,0,0,,,,
BreakableBlock,12,2,-16,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-6,0,0,2,2,2,0,0,0,0,0,,,,
BreakableBlock,4,0,4,2,2,2,0,0,0,0,0,,,,
BreakableBlock,15,1,-15,4,4,4,0,90,0,0,0,,,,
BreakableBlock,2,0,-6,2,2,2,0,0,0,0,0,,,,
BreakableBlock,12,2,16,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-6,0,2,2,2,2,0,0,0,0,0,,,,
BreakableBlock,15,1,15,4,4,4,0,0,0,0,0,,,,
BreakableBlock,-4,0,-2,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-2,0,-6,2,2,2,0,0,0,0,0,,,,
BreakableBlock,4,0,-2,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-2,0,-4,2,2,2,0,0,0,0,0,,,,
BreakableBlock,0,0,6,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-16,2,-12,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-16,2,12,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-2,0,-2,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-4,0,2,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-4,0,-4,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-15,1,15,4,4,4,0,270,0,0,0,,,,
BreakableBlock,-2,0,2,2,2,2,0,0,0,0,0,,,,
