name, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, RotX, RotY, RotZ
Block,-12.37501,-1,-15.125,2.750001,2,2.750001,0,90,0,
Block,12.375,-1,-15.125,2.750001,2,2.750001,0,90,0,
Block,9.624999,-1,-15.125,2.750001,2,2.750001,0,90,0,
Block,-9.62501,-1,-15.125,2.750001,2,2.750001,0,90,0,
Block,-12.37501,-1,-12.375,2.750001,2,2.750001,0,90,0,
Block,-12.37501,-1,-9.624999,2.750001,2,2.750001,0,90,0,
Block,12.375,-1,-12.375,2.750001,2,2.750001,0,90,0,
Block,12.375,-1,-9.625,2.750001,2,2.750001,0,90,0,
Block,9.624999,-1,-12.375,2.750001,2,2.750001,0,90,0,
Block,-9.62501,-1,-12.375,2.750001,2,2.750001,0,90,0,
Block,-6.875009,-1,-15.125,2.750001,2,2.750001,0,90,0,
Block,6.874998,-1,-15.125,2.750001,2,2.750001,0,90,0,
Block,-4.125007,-1,-6.874997,2.750001,2,2.750001,0,90,0,
Block,-4.125008,-1,-15.125,2.750001,2,2.750001,0,90,0,
Block,4.124997,-1,-15.125,2.750001,2,2.750001,0,90,0,
Block,-1.375006,-1,-15.125,2.750001,2,2.750001,0,90,0,
Block,1.374995,-1,-15.125,2.750001,2,2.750001,0,90,0,
Block,9.625,-1,-9.625,2.750001,2,2.750001,0,90,0,
Block,-9.62501,-1,-9.624999,2.750001,2,2.750001,0,90,0,
Block,6.874998,-1,-12.375,2.750001,2,2.750001,0,90,0,
Block,12.375,-1,-6.874999,2.750001,2,2.750001,0,90,0,
Block,-12.37501,-1,-6.874997,2.750001,2,2.750001,0,90,0,
Block,-4.125008,-1,-12.375,2.750001,2,2.750001,0,90,0,
Block,-1.375006,-1,-12.375,2.750001,2,2.750001,0,90,0,
Block,1.374995,-1,-12.375,2.750001,2,2.750001,0,90,0,
Block,9.625,-1,-6.874999,2.750001,2,2.750001,0,90,0,
Block,-9.625009,-1,-6.874997,2.750001,2,2.750001,0,90,0,
Block,6.874998,-1,-9.625,2.750001,2,2.750001,0,90,0,
Block,12.375,-1,-4.124998,2.750001,2,2.750001,0,90,0,
Block,12.375,-1,4.125007,2.750001,2,2.750001,0,90,0,
Block,12.375,-1,1.375003,2.750001,2,2.750001,0,90,0,
Block,12.375,-1,-1.374996,2.750001,2,2.750001,0,90,0,
Block,-12.37501,-1,-4.124996,2.750001,2,2.750001,0,90,0,
Block,-12.37501,-1,4.125009,2.750001,2,2.750001,0,90,0,
Block,-12.37501,-1,1.375007,2.750001,2,2.750001,0,90,0,
Block,-12.37501,-1,-1.374994,2.750001,2,2.750001,0,90,0,
Block,-4.125007,-1,-9.624998,2.750001,2,2.750001,0,90,0,
Block,-1.375005,-1,-9.625,2.750001,2,2.750001,0,90,0,
Block,1.374995,-1,-9.625,2.750001,2,2.750001,0,90,0,
Block,9.625,-1,-4.124998,2.750001,2,2.750001,0,90,0,
Block,9.625001,-1,4.125007,2.750001,2,2.750001,0,90,0,
Block,9.625001,-1,1.375005,2.750001,2,2.750001,0,90,0,
Block,9.625001,-1,-1.374996,2.750001,2,2.750001,0,90,0,
Block,-9.625009,-1,-4.124996,2.750001,2,2.750001,0,90,0,
Block,-9.625009,-1,4.125009,2.750001,2,2.750001,0,90,0,
Block,-9.625009,-1,1.375007,2.750001,2,2.750001,0,90,0,
Block,-9.625009,-1,-1.374994,2.750001,2,2.750001,0,90,0,
Block,-4.125007,-1,-4.124996,2.750001,2,2.750001,0,90,0,
Block,-4.125007,-1,-6.874997,2.750001,2,2.750001,0,90,0,
Block,6.874999,-1,-4.124998,2.750001,2,2.750001,0,90,0,
Block,6.874999,-1,-6.874999,2.750001,2,2.750001,0,90,0,
Block,-1.375005,-1,-4.124997,2.750001,2,2.750001,0,90,0,
Block,1.374996,-1,-4.124997,2.750001,2,2.750001,0,90,0,
Block,-1.375005,-1,-6.874998,2.750001,2,2.750001,0,90,0,
Block,1.374996,-1,-6.874998,2.750001,2,2.750001,0,90,0,
Block,-6.875007,-1,4.125009,2.750001,2,2.750001,0,90,0,
Block,-4.125006,-1,4.125009,2.750001,2,2.750001,0,90,0,
Block,4.124999,-1,4.125007,2.750001,2,2.750001,0,90,0,
Block,6.875,-1,4.125007,2.750001,2,2.750001,0,90,0,
Block,-1.375004,-1,4.125009,2.750001,2,2.750001,0,90,0,
Block,1.374997,-1,4.125009,2.750001,2,2.750001,0,90,0,
Block,-4.125006,-1,1.375007,2.750001,2,2.750001,0,90,0,
Block,-4.125006,-1,-1.374994,2.750001,2,2.750001,0,90,0,
Block,6.875,-1,1.375005,2.750001,2,2.750001,0,90,0,
Block,6.875,-1,-1.374996,2.750001,2,2.750001,0,90,0,
Block,-1.375004,-1,1.375005,2.750001,2,2.750001,0,90,0,
Block,1.374997,-1,1.375005,2.750001,2,2.750001,0,90,0,
Block,-1.375004,-1,-1.374995,2.750001,2,2.750001,0,90,0,
Block,1.374997,-1,-1.374995,2.750001,2,2.750001,0,90,0,
Block,-12.37501,4.92,-15.125,2.750001,2,2.750001,0,90,0,
Block,12.375,4.92,-15.125,2.750001,2,2.750001,0,90,0,
Block,12.375,4.92,4.125007,2.750001,2,2.750001,0,90,0,
Block,-12.37501,4.92,4.125009,2.750001,2,2.750001,0,90,0,
Block,-4.125006,0.8,1.375007,2.750001,2,2.750001,0,90,0,
Block,-4.125006,0.8,-1.374994,2.750001,2,2.750001,0,90,0,
Block,-1.375004,0.8,1.375005,2.750001,2,2.750001,0,90,0,
Block,1.374997,0.8,1.375005,2.750001,2,2.750001,0,90,0,
Block,-1.375004,0.8,-1.374995,2.750001,2,2.750001,0,90,0,
Block,1.374997,0.8,-1.374995,2.750001,2,2.750001,0,90,0,
Block,-4.125007,0.8,-8.827497,2.750001,2,2.750001,0,90,0,
Block,-4.125007,0.8,-11.5775,2.750001,2,2.750001,0,90,0,
Block,-1.375005,0.8,-8.827499,2.750001,2,2.750001,0,90,0,
Block,1.374996,0.8,-8.827499,2.750001,2,2.750001,0,90,0,
Block,-1.375005,0.8,-11.5775,2.750001,2,2.750001,0,90,0,
Block,1.374995,0.8,-11.5775,2.750001,2,2.750001,0,90,0,
Block,-1.375004,2.7,-0.1099949,2.750001,2,2.750001,0,90,0,
Block,-1.375005,2.7,-10.175,2.750001,2,2.750001,0,90,0,
Block,-6.877759,-1,-5.139747,2.750001,2,2.750001,0,90,0,
Block,4.113998,-1,-5.142497,2.750001,2,2.750001,0,90,0,
